Time, Name of ad, Localization, Price, Square, URL
Dzisiaj o 18:33,Dwupokojowe mieszkanie z widokiem na park,"Łódź, Widzew",345 000 złdo negocjacji,"43,19 m² - 7987.96 zł/m²",https://olx.pl/d/oferta/dwupokojowe-mieszkanie-z-widokiem-na-park-CID3-ID14GQaG.html
Odświeżono Dzisiaj o 18:27,"INWESTYCYJNE 5,5 tys. za m2, M-3 60M2 parter, Bałuty ul. Spacerowa 4","Łódź, Bałuty",329 000 złdo negocjacji,60 m² - 5483.33 zł/m²,https://olx.pl/d/oferta/inwestycyjne-5-5-tys-za-m2-m-3-60m2-parter-baluty-ul-spacerowa-4-CID3-ID14t2ZW.html
Dzisiaj o 18:32,Mieszkanie Łódź Chojny Kurczaki,"Łódź, Górna",350 000 zł,55 m² - 6363.64 zł/m²,https://olx.pl/d/oferta/mieszkanie-lodz-chojny-kurczaki-CID3-ID14GQl6.html
Dzisiaj o 21:51,Górna - na sprzedaż rozkładowe M3 z loggią I p. ul. Niemcewicza,"Łódź, Górna",349 000 zł,"51,44 m² - 6784.6 zł/m²",https://olx.pl/d/oferta/gorna-na-sprzedaz-rozkladowe-m3-z-loggia-i-p-ul-niemcewicza-CID3-ID14dpMV.html
Dzisiaj o 07:38,Mieszkanie sprzedam-Teofilów,"Łódź, Bałuty",300 000 złdo negocjacji,45 m² - 6666.67 zł/m²,https://olx.pl/d/oferta/mieszkanie-sprzedam-teofilow-CID3-ID13u4ZS.html
Dzisiaj o 08:05,Mieszkanie na sprzedaż,"Łódź, Bałuty",340 000 zł,45 m² - 7555.56 zł/m²,https://olx.pl/d/oferta/mieszkanie-na-sprzedaz-CID3-ID14H5PK.html
Dzisiaj o 08:05,Mieszkanie na sprzedaż,"Łódź, Bałuty",340 000 zł,45 m² - 7555.56 zł/m²,https://olx.pl/d/oferta/mieszkanie-na-sprzedaz-CID3-ID14H5PK.html
Odświeżono Dzisiaj o 08:39,"do remontu, 2 piętro, 2 pokoje, Łódź Widzew","Łódź, Widzew",303 900 zł,"44,92 m² - 6765.36 zł/m²",https://olx.pl/d/oferta/do-remontu-2-pietro-2-pokoje-lodz-widzew-CID3-ID13Mj5F.html
13 lutego 2025,"Mieszkanie M3 40,39m2 Dąbrowa,rodakowskiego.Parter.","Łódź, Górna",299 000 złdo negocjacji,"40,50 m² - 7382.72 zł/m²",https://olx.pl/d/oferta/mieszkanie-m3-40-39m2-dabrowa-rodakowskiego-parter-CID3-ID14reMa.html
Dzisiaj o 00:17,Centrum miasta / Wysokość 355cm / Dwustronne,"Łódź, Śródmieście",299 000 zł,50 m² - 5980 zł/m²,https://www.otodom.pl/pl/oferta/centrum-miasta-wysokosc-355cm-dwustronne-ID4w4BJ.html
Dzisiaj o 07:34,Mieszkanie 2-Pokojowe Na Karolewie – Pełen Rozkład,"Łódź, Polesie",310 000 zł,"43,50 m² - 7126.44 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-karolewie-pelen-rozklad-ID4w8I4.html
Odświeżono Dzisiaj o 12:22,M-3 ul Pomorska/Wierzbowa do odświeżenia blok z cegły piętro 1 z 3,"Łódź, Śródmieście",326 000 złdo negocjacji,"42,20 m² - 7725.12 zł/m²",https://olx.pl/d/oferta/m-3-ul-pomorska-wierzbowa-do-odswiezenia-blok-z-cegly-pietro-1-z-3-CID3-ID14BpsC.html
Dzisiaj o 14:18,Jasne komfortowe mieszkanie na sprzedaż,"Łódź, Górna",330 000 zł,40 m² - 8250 zł/m²,https://www.otodom.pl/pl/oferta/jasne-komfortowe-mieszkanie-na-sprzedaz-ID4wczE.html
Dzisiaj o 13:59,"Rozkładowe M3, loggia, 2 piętro, blok, Dąbrowa","Łódź, Górna",264 000 zł,40 m² - 6600 zł/m²,https://www.otodom.pl/pl/oferta/rozkladowe-m3-loggia-2-pietro-blok-dabrowa-ID4wcx8.html
Dzisiaj o 14:50,"Mieszkanie w bloku na sprzedaż Łódź Śródmieście Piotrkowska 41,16m","Łódź, Śródmieście",350 000 zł,"41,16 m² - 8503.4 zł/m²",https://olx.pl/d/oferta/mieszkanie-w-bloku-na-sprzedaz-lodz-srodmiescie-piotrkowska-41-16m-CID3-ID13HnVZ.html
Dzisiaj o 15:42,Mieszkania 49 m do generalnego remontu,"Łódź, Bałuty",310 000 zł,49 m² - 6326.53 zł/m²,https://olx.pl/d/oferta/mieszkania-49-m-do-generalnego-remontu-CID3-ID14IqmJ.html
Dzisiaj o 20:45,"3 pokoje, Śmigłego Rydza 3","Łódź, Widzew",315 000 złdo negocjacji,48 m² - 6562.5 zł/m²,https://olx.pl/d/oferta/3-pokoje-smiglego-rydza-3-CID3-IDYfyUv.html
02 marca 2025,Dąbrowa/2 pokoje +kuchnia/balkon/ do zamieszkania,"Łódź, Górna",330 000 zł,40 m² - 8250 zł/m²,https://www.otodom.pl/pl/oferta/dabrowa-2-pokoje-kuchnia-balkon-do-zamieszkania-ID4wczE.html
Dzisiaj o 10:31,"Dąbrowa, 2 pokoje, rozkładowe, 2 piętro","Łódź, Górna",309 000 zł,"44,34 m² - 6968.88 zł/m²",https://olx.pl/d/oferta/dabrowa-2-pokoje-rozkladowe-2-pietro-CID3-ID14IX3P.html
